iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
113,-13.939965038079915,4.211041544766443,-12.12,0.5235987755982988
114,-13.712021417482704,4.059389474819996,-11.95,0.5235987755982988
115,-13.509170193612166,3.9284975232401327,-11.77,0.5235987755982988
116,-13.272776833002196,3.782293320765577,-11.77,0.5235987755982988
117,-13.151314577227906,3.7024399007326783,-11.6,0.41887902047863906
118,-13.038973214064468,3.6332108176447577,-11.6,0.41887902047863906
119,-12.924407152973298,3.5604423893189336,-11.6,0.3141592653589793
120,-12.822165652393773,3.493337787777749,-11.42,0.3141592653589793
121,-12.718199014601916,3.4306261049498357,-11.42,0.3141592653589793
122,-12.622296029446469,3.370997698166151,-11.42,0.3141592653589793
123,-12.431253871676955,3.248654318423691,-11.42,0.3141592653589793
124,-12.321746730660946,3.1737157215359746,-11.42,0.3141592653589793
125,-12.138329826497039,3.042922468736522,-11.42,0.3141592653589793
126,-12.065539787799693,2.986682233802851,-11.42,0.3141592653589793
127,-12.013193549603354,2.9448397264643895,-11.42,0.20943951023931953
128,-11.960747391898655,2.9018268486257006,-11.42,0.20943951023931953
129,-11.912299113550477,2.8609987736498046,-11.42,0.20943951023931953
130,-11.867843704299007,2.822531949845725,-11.42,0.20943951023931953
131,-11.827163620302121,2.786422516877015,-11.42,0.10471975511965977
132,-11.76857460795461,2.7331273917634302,-11.42,0.10471975511965977
133,-11.697775146227858,2.666215022275913,-11.42,0.10471975511965977
134,-11.656692728788189,2.625341038360861,-11.42,0.10471975511965977
135,-11.631158122986122,2.5991336882948723,-11.42,0.10471975511965977
136,-11.6069499271028,2.573793639092414,-11.42,0.10471975511965977
137,-11.583893841065795,2.5491919731106205,-11.42,0.10471975511965977
138,-11.562503740436703,2.5259371285187786,-11.42,0.10471975511965977
139,-11.543213000107261,2.5045921398475035,-11.42,0.10471975511965977
140,-11.524698407520075,2.483776853681814,-11.42,0.10471975511965977
141,-11.489933460267151,2.4440916031338906,-11.42,0.10471975511965977
142,-11.469885694764077,2.420503814434918,-11.42,0.10471975511965977
143,-11.444336663677344,2.3899944925763226,-11.42,0.0
144,-11.426745577487898,2.368637991602873,-11.42,0.0
145,-11.416514825242542,2.356146399969489,-11.42,0.0
146,-11.407584024685143,2.34525061250346,-11.42,0.0
147,-11.399065449059423,2.3348975830898797,-11.42,0.0
148,-11.39110369302208,2.325292116651402,-11.42,0.0
149,-11.383713001876814,2.3164767175890217,-11.42,0.0
150,-11.373101563253675,2.3040211805721076,-11.42,0.0
151,-11.359788994648362,2.288930996008218,-11.42,0.0
